2022-12-25 17:49:22 INFO  Log:11 - checkNewParticipant Passed
2022-12-25 17:49:22 INFO  Log:11 - -----------------------
2022-12-25 17:49:22 INFO  Log:11 - ======== Finish : Event Module Case 3 ========
2022-12-25 17:49:22 INFO  Log:11 - ======== Start : Event Module Case 4 ========
2022-12-25 17:49:24 INFO  Log:11 - checkRemovedParticipantText Started
2022-12-25 17:49:24 INFO  Log:11 - Eger etkinlikte hic katilimci yoksa gelecek hata mesajini kontrol eder.
2022-12-25 17:49:24 INFO  Log:11 - checkRemovedParticipantText Passed
2022-12-25 17:49:24 INFO  Log:11 - -----------------------
2022-12-25 17:49:25 INFO  Log:11 - ======== Finish : Event Module Case 4 ========
2022-12-25 17:49:25 INFO  Log:11 - ======== Start : Event Module Case 5 ========
2022-12-25 17:49:28 INFO  Log:11 - checkDashboardPageUrl Started
2022-12-25 17:49:28 INFO  Log:11 - Dogru sayfada oldugumuzu dogrular.
2022-12-25 17:49:28 INFO  Log:11 - checkDashboardPageUrl Passed
2022-12-25 17:49:28 INFO  Log:11 - -----------------------
2022-12-25 17:49:28 INFO  Log:11 - checkSuccessfulMessage Started
2022-12-25 17:49:28 INFO  Log:11 - Basarili bir sekilde etkinlik olusturulursa gelecek bilgilendirmeyi kontrol eder.
2022-12-25 17:49:28 INFO  Log:11 - checkSuccessfulMessage Passed
2022-12-25 17:49:28 INFO  Log:11 - -----------------------
2022-12-25 17:49:28 INFO  Log:11 - ======== Finish : Event Module Case 5 ========
2022-12-25 17:49:28 INFO  Log:11 - ======== Start : Event Module Case 6 ========
2022-12-25 17:49:31 INFO  Log:11 - checkEditingEventPageUrl Started
2022-12-25 17:49:31 INFO  Log:11 - Dogru sayfada oldugumuzu dogrular.
2022-12-25 17:49:31 INFO  Log:11 - checkEditingEventPageUrl Passed
2022-12-25 17:49:31 INFO  Log:11 - -----------------------
2022-12-25 17:49:31 INFO  Log:11 - checkUpdateEventText Started
2022-12-25 17:49:31 INFO  Log:11 - Edit butonuna bastigimizda etkinlik bilgilerinin guncellenebildigini kontrol eder.
2022-12-25 17:49:31 INFO  Log:11 - checkUpdateEventText Passed
2022-12-25 17:49:31 INFO  Log:11 - -----------------------
2022-12-25 17:49:32 INFO  Log:11 - ======== Finish : Event Module Case 6 ========
2022-12-25 17:49:32 INFO  Log:11 - ======== Start : Event Module Case 7 ========
2022-12-25 17:49:35 INFO  Log:11 - checkDashboardPageUrl Started
2022-12-25 17:49:35 INFO  Log:11 - Dogru sayfada oldugumuzu dogrular.
2022-12-25 17:49:35 INFO  Log:11 - checkDashboardPageUrl Passed
2022-12-25 17:49:35 INFO  Log:11 - -----------------------
2022-12-25 17:49:35 INFO  Log:11 - checkUpdatedMessage Started
